id;country_code;country_name;dial_code;reason;blocked_at;created_at
d6c089eb-1da6-4e78-8cf4-28fc7ccc5638;IR;Iran;	+98;Comprehensive data localization mandate under Iran's Computer Crimes Law requiring all citizen data to be stored on servers physically located within Iran. Additionally, international sanctions and financial restrictions make compliance operationally infeasible for global platforms.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
e59fce2b-7a32-4885-90d4-3edba344bb7c;BR;Brazil;	+55;Lei Geral de Proteção de Dados (LGPD) Article 33 requires sensitive personal data processing to occur within Brazil or with adequate safeguards. Cross-border data transfers require ANPD approval and Standard Contractual Clauses, creating significant compliance overhead for our current infrastructure.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
31b573ac-b3c9-4372-9854-8818193b8690;KR;South Korea;	+82;Personal Information Protection Act (PIPA) Articles 28-39 mandate that certain categories of personal data (credit information, location data, medical records) must be stored on servers located in South Korea. Our cloud architecture does not currently support region-specific data residency.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
64010420-6abf-45c9-bb83-993c9dc6c639;SA;Saudi Arabia;	+966;Cloud Computing Regulatory Framework (CCRF) issued by CITC requires Critical Data Infrastructure (CDI) to be physically located within Saudi Arabia. Healthcare, financial, and government-related data must not leave the Kingdom without explicit approval.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
b0851d44-d549-4971-b961-a7682f4bc5a8;TH;Thailand;	+66;Personal Data Protection Act (PDPA) Section 28 restricts cross-border transfers of personal data unless the destination country has adequate protection standards as determined by the PDPC. Current lack of adequacy decision makes operations legally uncertain.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
2cdade4a-3250-46ea-a5df-34038deb9fa8;AE;UAE;	+971;Federal Decree-Law No. 45 of 2021 (Data Protection Law) and sector-specific regulations require sensitive personal data and critical infrastructure data to be stored within UAE borders. Financial and healthcare sectors face additional localization mandates from regulatory authorities.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
4a6657c8-e21a-4d2d-aff7-8e75590edbb0;AR;Argentina;	+54;Personal Data Protection Law (PDPL) 25,326 requires personal data processing to occur within Argentina or countries with adequate protection (whitelist). Cross-border transfers require explicit user consent and regulatory approval, creating operational friction incompatible with our automated onboarding.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
a28a1053-ac45-4b3e-b227-1a401c10752a;SG;Singapore;	+65;While Singapore's PDPA is generally flexible, the Banking Act and MAS Notice 655 impose strict data localization requirements on financial institutions. To avoid regulatory ambiguity around financial services classification, we restrict Singapore registrations pending legal clarity.;2025-10-23 13:25:52.077925+00;2025-10-23 13:25:52.077925+00
4d699864-b4f5-4511-af38-0af1652aac50;CN;China;	+86;Cybersecurity Law (CSL) Article 37 and Personal Information Protection Law (PIPL) Chapter 3 mandate that personal information and important data collected within China must be stored on servers located in mainland China. Cross-border data transfers require security assessments and government approval, which our infrastructure cannot support.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
aae44bdc-25ea-4dd1-98bb-2216893ef235;RU;Russia;	+7;Federal Law 242-FZ (Data Localization Law) requires all personal data of Russian citizens to be stored on servers physically located within Russian territory during initial collection. Non-compliance carries criminal penalties, making operations legally untenable without local data centers.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
f40111e9-00d1-49de-93e5-bedcd52f1d19;IN;India;	+91;Digital Personal Data Protection Act (DPDPA) 2023 Section 16 requires certain categories of personal data to be stored and processed exclusively within India. The Data Protection Board's evolving enforcement guidance creates regulatory uncertainty incompatible with our current cloud setup.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
0c827eaf-64db-4133-adff-44de6f7ddafd;VN;Vietnam;	+84;Cybersecurity Law 2019 Article 26 mandates domestic storage of personal data and user-generated content for service providers operating in Vietnam. Foreign companies must establish local servers or partnerships, which exceeds our current operational capacity.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
4ce2da55-38f4-49a1-b4b3-8ab2c82f444f;ID;Indonesia;	+62;Government Regulation 71/2019 (GR 71) requires electronic system operators to locate data centers and disaster recovery centers within Indonesian territory for public services. The broad definition of 'public service' creates compliance risk.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
d5b8f2ef-acf2-4ae0-957e-7222e0bd544e;TR;Turkey;	+90;Personal Data Protection Law (KVKK) Article 9 restricts international data transfers to countries with adequate protection or requires explicit consent plus additional safeguards. Regulatory guidance remains unclear, creating legal uncertainty for automated data processing.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
d5cf893d-5ae8-445a-9550-171417d2295e;PK;Pakistan;	+92;Pakistan Telecommunication Authority (PTA) regulations and draft Personal Data Protection Bill indicate movement toward mandatory data localization. To avoid future compliance violations, we proactively restrict registrations pending legal framework finalization.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00
1b11158c-bc3d-4231-b11f-691741b75c7d;KZ;Kazakhstan;	+7;Law on Personal Data and Its Protection Article 17 requires personal data to be recorded, systematized, and stored using databases located within Kazakhstan. Cross-border transfers require data subject consent and regulatory notification.;2025-10-23 11:43:32.151951+00;2025-10-23 11:43:32.151951+00